         73044 function calls (68463 primitive calls) in 26.472 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       20    6.796    0.340    8.722    0.436 /home/chenxinpeng/MRXCAT2_python/src/mrxcat2/data/preprocessing.py:296(generate_bssfp_signal)
       20    0.000    0.000    7.759    0.388 /home/chenxinpeng/MRXCAT2_python/src/mrxcat2/data/preprocessing.py:55(save_numpy_as_nifti)
       20    0.000    0.000    7.723    0.386 /home/chenxinpeng/anaconda3/envs/vos/lib/python3.12/site-packages/nibabel/loadsave.py:144(save)
       20    0.000    0.000    7.721    0.386 /home/chenxinpeng/anaconda3/envs/vos/lib/python3.12/site-packages/nibabel/filebasedimages.py:291(to_filename)
       20    0.000    0.000    7.719    0.386 /home/chenxinpeng/anaconda3/envs/vos/lib/python3.12/site-packages/nibabel/nifti1.py:2359(to_file_map)
       20    0.001    0.000    7.718    0.386 /home/chenxinpeng/anaconda3/envs/vos/lib/python3.12/site-packages/nibabel/analyze.py:990(to_file_map)
       20    0.000    0.000    7.690    0.385 /home/chenxinpeng/anaconda3/envs/vos/lib/python3.12/site-packages/nibabel/arraywriters.py:516(to_fileobj)
       20    0.000    0.000    7.690    0.384 /home/chenxinpeng/anaconda3/envs/vos/lib/python3.12/site-packages/nibabel/volumeutils.py:485(array_to_file)
       20    0.010    0.000    7.689    0.384 /home/chenxinpeng/anaconda3/envs/vos/lib/python3.12/site-packages/nibabel/volumeutils.py:721(_write_data)
       20    0.758    0.038    5.240    0.262 /home/chenxinpeng/MRXCAT2_python/src/mrxcat2/data/preprocessing.py:157(simplify_xcat_labels)
     4520    0.003    0.000    4.910    0.001 /home/chenxinpeng/anaconda3/envs/vos/lib/python3.12/site-packages/nibabel/openers.py:230(write)
     4540    0.005    0.000    4.907    0.001 /home/chenxinpeng/anaconda3/envs/vos/lib/python3.12/gzip.py:291(write)
9220/4740    0.040    0.000    4.899    0.001 {method 'write' of '_io.BufferedWriter' objects}
     4500    0.003    0.000    4.893    0.001 /home/chenxinpeng/anaconda3/envs/vos/lib/python3.12/gzip.py:129(write)
     4500    0.014    0.000    4.890    0.001 /home/chenxinpeng/anaconda3/envs/vos/lib/python3.12/gzip.py:302(_write_raw)
       20    4.392    0.220    4.392    0.220 /home/chenxinpeng/MRXCAT2_python/src/mrxcat2/data/preprocessing.py:271(assign_tissue_properties)
     4500    4.328    0.001    4.328    0.001 {method 'compress' of 'zlib.Compress' objects}
      120    0.002    0.000    4.224    0.035 /home/chenxinpeng/anaconda3/envs/vos/lib/python3.12/site-packages/numpy/lib/_arraysetops_impl.py:1018(isin)
      120    4.133    0.034    4.221    0.035 /home/chenxinpeng/anaconda3/envs/vos/lib/python3.12/site-packages/numpy/lib/_arraysetops_impl.py:865(_in1d)
     4500    2.770    0.001    2.770    0.001 {method 'tobytes' of 'numpy.ndarray' objects}
       40    1.926    0.048    1.926    0.048 {method 'copy' of 'numpy.ndarray' objects}
     4520    0.512    0.000    0.512    0.000 {built-in method zlib.crc32}
       20    0.000    0.000    0.356    0.018 /home/chenxinpeng/MRXCAT2_python/src/mrxcat2/data/preprocessing.py:10(load_bin_as_numpy)
       20    0.353    0.018    0.353    0.018 {built-in method numpy.fromfile}
       20    0.258    0.013    0.258    0.013 /home/chenxinpeng/anaconda3/envs/vos/lib/python3.12/site-packages/numpy/_core/numeric.py:65(zeros_like)
      220    0.087    0.000    0.087    0.000 {built-in method numpy.zeros}
       20    0.000    0.000    0.036    0.002 /home/chenxinpeng/anaconda3/envs/vos/lib/python3.12/site-packages/nibabel/nifti1.py:1982(__init__)
       20    0.000    0.000    0.031    0.002 /home/chenxinpeng/anaconda3/envs/vos/lib/python3.12/site-packages/nibabel/analyze.py:911(__init__)
       20    0.000    0.000    0.031    0.002 /home/chenxinpeng/anaconda3/envs/vos/lib/python3.12/site-packages/nibabel/spatialimages.py:473(__init__)
       40    0.000    0.000    0.031    0.001 /home/chenxinpeng/anaconda3/envs/vos/lib/python3.12/site-packages/nibabel/nifti1.py:2425(update_header)
       40    0.000    0.000    0.031    0.001 /home/chenxinpeng/anaconda3/envs/vos/lib/python3.12/site-packages/nibabel/nifti1.py:2022(update_header)
       40    0.000    0.000    0.030    0.001 /home/chenxinpeng/anaconda3/envs/vos/lib/python3.12/site-packages/nibabel/spatialimages.py:530(update_header)
       40    0.000    0.000    0.026    0.001 /home/chenxinpeng/anaconda3/envs/vos/lib/python3.12/site-packages/nibabel/nifti1.py:2042(_affine2header)
       40    0.002    0.000    0.026    0.001 /home/chenxinpeng/anaconda3/envs/vos/lib/python3.12/site-packages/nibabel/nifti1.py:1163(set_qform)
       40    0.017    0.000    0.018    0.000 /home/chenxinpeng/anaconda3/envs/vos/lib/python3.12/site-packages/numpy/linalg/_linalg.py:1659(svd)
       20    0.000    0.000    0.011    0.001 /home/chenxinpeng/anaconda3/envs/vos/lib/python3.12/site-packages/nibabel/fileholders.py:52(get_prepare_fileobj)
       20    0.000    0.000    0.011    0.001 /home/chenxinpeng/anaconda3/envs/vos/lib/python3.12/site-packages/nibabel/openers.py:155(__init__)
       20    0.000    0.000    0.010    0.000 /home/chenxinpeng/anaconda3/envs/vos/lib/python3.12/site-packages/nibabel/openers.py:81(_gzip_open)
       20    0.000    0.000    0.010    0.000 /home/chenxinpeng/anaconda3/envs/vos/lib/python3.12/site-packages/nibabel/openers.py:51(__init__)
       20    0.000    0.000    0.008    0.000 /home/chenxinpeng/anaconda3/envs/vos/lib/python3.12/site-packages/nibabel/openers.py:245(close_if_mine)
       20    0.000    0.000    0.008    0.000 /home/chenxinpeng/anaconda3/envs/vos/lib/python3.12/site-packages/nibabel/openers.py:239(close)
       20    0.000    0.000    0.008    0.000 /home/chenxinpeng/anaconda3/envs/vos/lib/python3.12/gzip.py:350(close)
       21    0.008    0.000    0.008    0.000 {built-in method _io.open}
       20    0.006    0.000    0.006    0.000 {method 'close' of '_io.BufferedWriter' objects}
       40    0.000    0.000    0.004    0.000 /home/chenxinpeng/anaconda3/envs/vos/lib/python3.12/site-packages/numpy/_core/numeric.py:2253(allclose)
       40    0.001    0.000    0.003    0.000 /home/chenxinpeng/anaconda3/envs/vos/lib/python3.12/site-packages/nibabel/quaternions.py:163(mat2quat)
5432/5430    0.002    0.000    0.003    0.000 {built-in method builtins.isinstance}
       40    0.002    0.000    0.003    0.000 /home/chenxinpeng/anaconda3/envs/vos/lib/python3.12/site-packages/numpy/_core/numeric.py:2349(isclose)
     4560    0.002    0.000    0.003    0.000 /home/chenxinpeng/anaconda3/envs/vos/lib/python3.12/_compression.py:12(_check_not_closed)
       60    0.000    0.000    0.003    0.000 /home/chenxinpeng/anaconda3/envs/vos/lib/python3.12/site-packages/nibabel/filename_parser.py:26(_stringify_path)
      180    0.002    0.000    0.002    0.000 {method 'reduce' of 'numpy.ufunc' objects}
       80    0.001    0.000    0.002    0.000 /home/chenxinpeng/anaconda3/envs/vos/lib/python3.12/site-packages/numpy/_core/fromnumeric.py:69(_wrapreduction)
      144    0.002    0.000    0.002    0.000 {built-in method builtins.print}
       20    0.000    0.000    0.002    0.000 /home/chenxinpeng/anaconda3/envs/vos/lib/python3.12/site-packages/nibabel/dataobj_images.py:36(__init__)
       20    0.000    0.000    0.002    0.000 /home/chenxinpeng/anaconda3/envs/vos/lib/python3.12/site-packages/nibabel/filebasedimages.py:170(__init__)
       40    0.000    0.000    0.002    0.000 /home/chenxinpeng/anaconda3/envs/vos/lib/python3.12/site-packages/nibabel/nifti1.py:900(get_best_affine)
       40    0.001    0.000    0.002    0.000 /home/chenxinpeng/anaconda3/envs/vos/lib/python3.12/site-packages/numpy/linalg/_linalg.py:1502(eigh)
       20    0.002    0.000    0.002    0.000 {method 'flush' of 'zlib.Compress' objects}
       20    0.000    0.000    0.002    0.000 /home/chenxinpeng/anaconda3/envs/vos/lib/python3.12/site-packages/nibabel/filebasedimages.py:256(filespec_to_file_map)
       20    0.000    0.000    0.002    0.000 /home/chenxinpeng/anaconda3/envs/vos/lib/python3.12/site-packages/nibabel/nifti1.py:919(from_header)
       20    0.000    0.000    0.002    0.000 /home/chenxinpeng/anaconda3/envs/vos/lib/python3.12/site-packages/numpy/_core/fromnumeric.py:3369(prod)
       20    0.001    0.000    0.002    0.000 /home/chenxinpeng/anaconda3/envs/vos/lib/python3.12/gzip.py:152(__init__)
       20    0.000    0.000    0.002    0.000 /home/chenxinpeng/anaconda3/envs/vos/lib/python3.12/site-packages/nibabel/filename_parser.py:45(types_filenames)
       40    0.001    0.000    0.001    0.000 /home/chenxinpeng/anaconda3/envs/vos/lib/python3.12/site-packages/numpy/linalg/_linalg.py:2377(det)
       60    0.000    0.000    0.001    0.000 /home/chenxinpeng/anaconda3/envs/vos/lib/python3.12/pathlib.py:1398(expanduser)
       60    0.000    0.000    0.001    0.000 /home/chenxinpeng/anaconda3/envs/vos/lib/python3.12/site-packages/nibabel/nifti1.py:1063(set_data_dtype)
       20    0.000    0.000    0.001    0.000 /home/chenxinpeng/anaconda3/envs/vos/lib/python3.12/site-packages/nibabel/analyze.py:350(from_header)
       20    0.000    0.000    0.001    0.000 /home/chenxinpeng/anaconda3/envs/vos/lib/python3.12/site-packages/nibabel/nifti1.py:984(set_data_shape)
       20    0.000    0.000    0.001    0.000 /home/chenxinpeng/anaconda3/envs/vos/lib/python3.12/site-packages/nibabel/analyze.py:636(get_base_affine)
       20    0.000    0.000    0.001    0.000 /home/chenxinpeng/anaconda3/envs/vos/lib/python3.12/site-packages/nibabel/nifti1.py:877(write_to)
      120    0.000    0.000    0.001    0.000 /home/chenxinpeng/anaconda3/envs/vos/lib/python3.12/pathlib.py:551(drive)
      140    0.001    0.000    0.001    0.000 {method 'reshape' of 'numpy.ndarray' objects}
       80    0.000    0.000    0.001    0.000 /home/chenxinpeng/anaconda3/envs/vos/lib/python3.12/site-packages/numpy/_core/fromnumeric.py:2611(all)
     4560    0.001    0.000    0.001    0.000 /home/chenxinpeng/anaconda3/envs/vos/lib/python3.12/gzip.py:346(closed)
       20    0.001    0.000    0.001    0.000 /home/chenxinpeng/anaconda3/envs/vos/lib/python3.12/site-packages/nibabel/analyze.py:608(set_data_shape)
       20    0.000    0.000    0.001    0.000 /home/chenxinpeng/anaconda3/envs/vos/lib/python3.12/site-packages/nibabel/nifti1.py:844(__init__)
      600    0.001    0.000    0.001    0.000 {built-in method numpy.asarray}
       20    0.001    0.000    0.001    0.000 /home/chenxinpeng/anaconda3/envs/vos/lib/python3.12/site-packages/nibabel/volumeutils.py:1305(shape_zoom_affine)
       20    0.000    0.000    0.001    0.000 /home/chenxinpeng/anaconda3/envs/vos/lib/python3.12/site-packages/nibabel/arraywriters.py:722(make_array_writer)
       40    0.000    0.000    0.001    0.000 /home/chenxinpeng/anaconda3/envs/vos/lib/python3.12/typing.py:1899(__instancecheck__)
       20    0.000    0.000    0.001    0.000 /home/chenxinpeng/anaconda3/envs/vos/lib/python3.12/site-packages/nibabel/analyze.py:198(__init__)
       60    0.000    0.000    0.001    0.000 /home/chenxinpeng/anaconda3/envs/vos/lib/python3.12/pathlib.py:407(_load_parts)
       20    0.000    0.000    0.001    0.000 /home/chenxinpeng/anaconda3/envs/vos/lib/python3.12/site-packages/nibabel/arraywriters.py:459(__init__)
        1    0.000    0.000    0.001    0.001 /home/chenxinpeng/MRXCAT2_python/src/mrxcat2/data/preprocessing.py:86(parse_xcat_log_from_path)
       80    0.000    0.000    0.001    0.000 /home/chenxinpeng/anaconda3/envs/vos/lib/python3.12/site-packages/numpy/_core/fromnumeric.py:89(_wrapreduction_any_all)
       20    0.000    0.000    0.001    0.000 /home/chenxinpeng/anaconda3/envs/vos/lib/python3.12/site-packages/nibabel/wrapstruct.py:130(__init__)
       60    0.000    0.000    0.001    0.000 /home/chenxinpeng/anaconda3/envs/vos/lib/python3.12/site-packages/nibabel/analyze.py:544(set_data_dtype)
       20    0.000    0.000    0.001    0.000 /home/chenxinpeng/anaconda3/envs/vos/lib/python3.12/site-packages/nibabel/arraywriters.py:230(__init__)
       60    0.000    0.000    0.001    0.000 /home/chenxinpeng/anaconda3/envs/vos/lib/python3.12/site-packages/numpy/_core/fromnumeric.py:2349(sum)
       20    0.000    0.000    0.001    0.000 /home/chenxinpeng/anaconda3/envs/vos/lib/python3.12/site-packages/nibabel/nifti1.py:909(default_structarr)
       60    0.000    0.000    0.001    0.000 /home/chenxinpeng/anaconda3/envs/vos/lib/python3.12/pathlib.py:387(_parse_path)
      122    0.001    0.000    0.001    0.000 {built-in method numpy.array}
       20    0.000    0.000    0.001    0.000 /home/chenxinpeng/anaconda3/envs/vos/lib/python3.12/site-packages/nibabel/spm99analyze.py:46(default_structarr)
       20    0.000    0.000    0.001    0.000 /home/chenxinpeng/anaconda3/envs/vos/lib/python3.12/site-packages/nibabel/volumeutils.py:841(seek_tell)
       59    0.000    0.000    0.001    0.000 /home/chenxinpeng/anaconda3/envs/vos/lib/python3.12/re/__init__.py:280(_compile)
       20    0.000    0.000    0.001    0.000 /home/chenxinpeng/anaconda3/envs/vos/lib/python3.12/site-packages/nibabel/openers.py:233(seek)
       20    0.000    0.000    0.001    0.000 /home/chenxinpeng/anaconda3/envs/vos/lib/python3.12/site-packages/nibabel/analyze.py:338(default_structarr)
       20    0.000    0.000    0.001    0.000 /home/chenxinpeng/anaconda3/envs/vos/lib/python3.12/gzip.py:402(seek)
       20    0.000    0.000    0.001    0.000 /home/chenxinpeng/anaconda3/envs/vos/lib/python3.12/site-packages/numpy/_core/_dtype.py:34(__str__)
       20    0.000    0.000    0.001    0.000 /home/chenxinpeng/anaconda3/envs/vos/lib/python3.12/site-packages/nibabel/filename_parser.py:171(parse_filename)
        2    0.000    0.000    0.001    0.000 /home/chenxinpeng/anaconda3/envs/vos/lib/python3.12/re/_compiler.py:740(compile)
       58    0.000    0.000    0.001    0.000 /home/chenxinpeng/anaconda3/envs/vos/lib/python3.12/re/__init__.py:164(match)
       80    0.000    0.000    0.001    0.000 /home/chenxinpeng/anaconda3/envs/vos/lib/python3.12/site-packages/nibabel/analyze.py:535(get_data_dtype)
       40    0.000    0.000    0.001    0.000 /home/chenxinpeng/anaconda3/envs/vos/lib/python3.12/site-packages/nibabel/arraywriters.py:503(reset)
        1    0.000    0.000    0.001    0.001 /home/chenxinpeng/anaconda3/envs/vos/lib/python3.12/glob.py:13(glob)
       21    0.000    0.000    0.001    0.000 /home/chenxinpeng/anaconda3/envs/vos/lib/python3.12/glob.py:60(_iglob)
      240    0.001    0.000    0.001    0.000 /home/chenxinpeng/anaconda3/envs/vos/lib/python3.12/site-packages/numpy/lib/_arraysetops_impl.py:879(<genexpr>)
       20    0.000    0.000    0.001    0.000 /home/chenxinpeng/anaconda3/envs/vos/lib/python3.12/site-packages/numpy/_core/_dtype.py:350(_name_get)
       20    0.000    0.000    0.001    0.000 /home/chenxinpeng/anaconda3/envs/vos/lib/python3.12/gzip.py:259(_write_gzip_header)
       40    0.001    0.000    0.001    0.000 /home/chenxinpeng/anaconda3/envs/vos/lib/python3.12/site-packages/nibabel/nifti1.py:1403(set_slope_inter)
       20    0.000    0.000    0.001    0.000 /home/chenxinpeng/anaconda3/envs/vos/lib/python3.12/site-packages/nibabel/nifti1.py:702(get_sizeondisk)
       40    0.000    0.000    0.001    0.000 /home/chenxinpeng/anaconda3/envs/vos/lib/python3.12/site-packages/nibabel/nifti1.py:2326(get_data_dtype)
      121    0.000    0.000    0.001    0.000 {built-in method builtins.all}
       20    0.000    0.000    0.001    0.000 /home/chenxinpeng/anaconda3/envs/vos/lib/python3.12/inspect.py:1841(getattr_static)
       60    0.000    0.000    0.000    0.000 /home/chenxinpeng/anaconda3/envs/vos/lib/python3.12/pathlib.py:450(as_posix)
       21    0.000    0.000    0.000    0.000 <frozen genericpath>:16(exists)
       40    0.000    0.000    0.000    0.000 {method 'flush' of '_io.BufferedWriter' objects}
    82/80    0.000    0.000    0.000    0.000 <frozen abc>:117(__instancecheck__)
      120    0.000    0.000    0.000    0.000 /home/chenxinpeng/anaconda3/envs/vos/lib/python3.12/site-packages/numpy/_core/_ufunc_config.py:441(__enter__)
        1    0.000    0.000    0.000    0.000 /home/chenxinpeng/anaconda3/envs/vos/lib/python3.12/glob.py:105(_glob1)
       40    0.000    0.000    0.000    0.000 /home/chenxinpeng/anaconda3/envs/vos/lib/python3.12/site-packages/nibabel/analyze.py:922(get_data_dtype)
       22    0.000    0.000    0.000    0.000 {built-in method posix.stat}
      120    0.000    0.000    0.000    0.000 /home/chenxinpeng/anaconda3/envs/vos/lib/python3.12/site-packages/numpy/linalg/_linalg.py:148(_commonType)
        2    0.000    0.000    0.000    0.000 /home/chenxinpeng/anaconda3/envs/vos/lib/python3.12/re/_parser.py:969(parse)
       20    0.000    0.000    0.000    0.000 /home/chenxinpeng/anaconda3/envs/vos/lib/python3.12/site-packages/nibabel/wrapstruct.py:389(default_structarr)
       40    0.000    0.000    0.000    0.000 /home/chenxinpeng/anaconda3/envs/vos/lib/python3.12/site-packages/numpy/lib/_twodim_base_impl.py:163(eye)
